manualRowNo,exerciseName,stableKey,estimatedMovementFamily,estimatedFamilyConfidence,manualReviewReasons,sourceIdIssue,highAxialPlyometricDecelerationConflict,automaticFixPossible,myRowReviewJudgement,myFamilyJudgement,mySuggestedFamilyOrActionFamily,mySourceIssueJudgement,myPriority,myRecommendedAction,myComment
47,시티드 카프 레이즈,ex_5c8751d2,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 카프/발목 계열에 badminton lunge source만 쓰는 것은 약하므로 추후 ankle/SSC 근거 보강이 좋다.
48,싱글 레그 글루트 브릿지,ex_5715d6ca,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
49,싱글 레그 카프 레이즈,ex_5ca7133f,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 카프/발목 계열에 badminton lunge source만 쓰는 것은 약하므로 추후 ankle/SSC 근거 보강이 좋다.
50,싱글 레그 힙 쓰러스트,ex_d634055c,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
51,아놀드 프레스,ex_767e188e,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
52,오버헤드 트라이셉스 익스텐션,ex_a9e8859c,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
53,오버헤드 프레스,ex_32219f7a,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
54,워킹 런지,ex_e3715c0b,LUNGE_SPLIT_SQUAT_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LUNGE_SPLIT_SQUAT_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
55,원레그 레그 프레스,ex_a091b9fe,LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE,NO,NO,PARTIAL,수동검토 적절,대체로 적절 또는 세부분리 필요,LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS,해당 없음,P1,자동 반영하지 말고 subtype/template 확인.,중간 신뢰도라 row-level review가 맞다.
56,원레그 핵 스쿼트,ex_f1d31d3d,SQUAT_VARIANTS,HIGH,HIGH_STRESS_SESSION_CLUSTER_REVIEW,NO,HIGH_AXIAL_REVIEW,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,적절,SQUAT_VARIANTS,해당 없음,P1,session-level redundancy/fatigue cap에서만 사용하고 seed 자동 고부하 판정은 금지.,고부하/감속/SSC 후보라 session generator 충돌 검토가 필요하다.
57,원암 덤벨 로우,ex_30a0e9aa,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
58,원암 덤벨 숄더프레스,ex_7814843a,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
59,원암 덤벨 오버헤드 트라이셉스 익스텐션,ex_fdbdf454,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
60,원암 덤벨 컬,ex_85b2ac56,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
61,원암 랫풀다운,ex_32eb8457,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
62,원암 로우,ex_e3487166,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
63,원암 리어델트 케이블 플라이,ex_a60496be,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL,수동검토 적절,대체로 적절 또는 세부분리 필요,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,source 검토 적절,P1,자동 반영하지 말고 subtype/template 확인.,중간 신뢰도라 row-level review가 맞다.
64,원암 머신 로우,ex_33d2da8e,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
65,원암 스트레이트암 풀다운,ex_c365e5e2,FACE_PULL_LOWER_TRAP_SERRATUS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,수정 필요,LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY_REVIEW,source 검토 적절,P0,sidecar 생성 전 family 보정 규칙을 추가하라.,원암 변형도 face pull 계열이 아니다. 광배근/어깨신전 보조로 분리해야 한다.
66,원암 인버티드 로우,ex_d9084b5e,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
67,원암 케이블 래터럴 레이즈,ex_b076570e,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
68,원암 케이블 숄더프레스,ex_c536edc2,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. overhead/shoulder source review만 남기면 충분하다.
69,원암 케이블 컬,ex_3d5719de,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
70,원암 케이블 트라이셉스 푸시다운,ex_5322f2d1,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
71,원암 케이블 플라이,ex_442617f6,CHEST_ISOLATION_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,CHEST_ISOLATION_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
72,원암 케이블 하이 로우,ex_40fa57be,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
73,원암 해머 컬,ex_86323ed6,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
74,월싯,ex_64661229,LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE,NO,NO,PARTIAL,수동검토 적절,세부분리 필요,KNEE_DOMINANT_ISOMETRIC_REVIEW,해당 없음,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,레그프레스/머신 계열보다 무릎우세 등척성 하체 보조로 분리하는 편이 정확하다.
75,인버티드 로우,ex_e159d15a,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
76,인클라인 덤벨 컬,ex_d5048362,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
77,인클라인 덤벨 플라이,ex_a61f307a,CHEST_ISOLATION_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,CHEST_ISOLATION_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
78,중량 친업,ex_e41e8dcf,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
79,중량 풀업,ex_e41f4c2b,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
80,친업,ex_6466fe77,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
81,카프 레이즈,ex_f892893e,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,CALF_RAISE_ANKLE_STIFFNESS_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 카프/발목 계열에 badminton lunge source만 쓰는 것은 약하므로 추후 ankle/SSC 근거 보강이 좋다.
82,캡틴체어 레그 레이즈,ex_a345e30b,ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS,MEDIUM,LOW_OR_MEDIUM_FAMILY_CONFIDENCE,NO,NO,PARTIAL,수동검토 적절,세부분리 필요,CORE_FLEXION_HIP_FLEXOR_REVIEW,해당 없음,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,복부 굴곡/고관절 굴곡 계열로 세부 템플릿 분리가 필요하다.
83,컨센트레이션 컬,ex_c62c0716,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
84,케이블 래터럴 레이즈,ex_b76d3f92,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다.
85,케이블 로우,ex_fa31f7a6,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
86,케이블 원암 로우,ex_3c3692aa,ROW_VARIANTS,HIGH,SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,대체로 적절,ROW_VARIANTS,row subtype source 검토 적절,P1,inverted row 근거를 전체 row 변형에 자동 일반화하지 말고 subtype별로 검토.,ROW family는 맞지만 Snarr/Esco 근거를 바벨/케이블/원암 로우에 그대로 쓰면 안 된다.
87,케이블 원암 트라이셉스 익스텐션,ex_eb636bac,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
88,케이블 컬,ex_e709eeda,BICEPS_TRICEPS_ISOLATION_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,행 단위 manual review는 과잉,적절,BICEPS_TRICEPS_ISOLATION_VARIANTS,source-only 검토 적절,P2,family는 유지. sourceReviewRequired로만 분리하고 seed 반영 전 source 상태만 확인.,"운동 분류 문제라기보다 needs_network_recheck source 때문에 manual로 잡힌 행이다. 단, E_BADMINTON_INJURY source는 배드민턴 grip/상지 support 보조 근거로만 두고 arm isolation의 주근거로 쓰면 안 된다."
89,케이블 킥백,ex_fa34ddfe,HIP_THRUST_GLUTE_BRIDGE_VARIANTS,HIGH,SOURCE_REVIEW,USES_NEEDS_NETWORK_RECHECK_SOURCE:C_GLUTE_REHAB_EMG_PMC3201064,NO,PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW,수동검토 적절,세부분리 필요,GLUTE_ISOLATION_ACCESSORY_REVIEW,source 검토 적절,P1,자동 template 반영 금지. sidecar에서 별도 review family로 둬라.,힙쓰러스트/브릿지 계열의 자동 템플릿보다 둔근 고립 보조로 분리하는 편이 안전하다.
90,케이블 플라이,ex_4c779df2,CHEST_ISOLATION_REVIEW,MEDIUM,NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW,MISSING_SOURCE_ID,NO,NO,수동검토 적절,대체로 적절,CHEST_ISOLATION_REVIEW,source/template 누락 검토 적절,P1,새 template/sourceId를 만든 뒤에만 seed 반영.,새로 분리한 review family이거나 template/source가 없어서 manual review가 맞다.
