"stableKey","sourceField","sourceToken","sourceSemanticFacts","existingCanonicalFactsBefore","canonicalFactsAfter","lostFacts","unsupportedNewFacts","duplicatedFacts","informationStatus"
"ex_3d5719de","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=UNILATERAL;fatigue=ANTI_ROTATION|BICEPS_LOCAL_LOAD|BICEPS_TENDON_STRESS|ELBOW_FLEXION_LOAD|FOREARM_FLEXOR_TENDON_STRESS|GRIP_FOREARM|GRIP_FOREARM_LOAD|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|SYSTEMIC;muscles=BICEPS|CORE|DEEP_CORE|FOREARM;roles=ANTI_ROTATION_STABILITY|GENERAL_STRENGTH_SUPPORTIVE|GRIP_FOREARM;skills=;qualities=GRIP_ENDURANCE","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL|UNILATERAL_STABILITY;objectives=;fatigueCost=MEDIUM","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=GRIP_ENDURANCE","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_3f184ef9","legacy derived badminton transfer inference","forceType=ACCELERATE;plane=SAGITTAL;laterality=BILATERAL;fatigue=ACHILLES_TENDON_STRESS|CARDIO_CONDITIONING_STRESS|CORE_BRACING_LOAD|DECELERATION|KNEE_VALGUS_CONTROL_STRESS|LANDING_LOAD|LOCAL_MUSCLE|NEURAL_HEAVY|NEURAL_SPEED|PATELLAR_TENDON_STRESS|QUAD_LOAD|REPEATED_LOW_AMPLITUDE_IMPACT_STRESS|REPEATED_PATTERN_LOAD|SYSTEMIC;muscles=CORE|DEEP_CORE;roles=CONDITIONING|GENERAL_CONDITIONING_SUPPORTIVE;skills=;qualities=AEROBIC_BASE|ANAEROBIC_REPEATABILITY|RECOVERY_STEP","axes=AEROBIC_FOOTWORK|DECELERATION_LANDING|LATERAL_MOVEMENT;objectives=CONDITIONING|FOOTWORK;fatigueCost=MEDIUM","level=GENERAL;types=GENERAL_CONDITIONING_SUPPORTIVE;skills=;qualities=AEROBIC_BASE|ANAEROBIC_REPEATABILITY","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=AEROBIC_FOOTWORK|DECELERATION_LANDING|LATERAL_MOVEMENT;removedObjectives=CONDITIONING|FOOTWORK","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_40fa57be","legacy derived badminton transfer inference","forceType=PULL;plane=TRANSVERSE;laterality=UNILATERAL;fatigue=BICEPS_LOAD|BICEPS_TENDON_STRESS|ELBOW_JOINT_STRESS|FOREARM_FLEXOR_TENDON_STRESS|GRIP_FOREARM|GRIP_LOAD|HORIZONTAL_ROW_STRESS|LAT_LOAD|LOCAL_MUSCLE|NEURAL_HEAVY|OVERHEAD_REPETITION|REAR_DELTOID_LOAD|SCAPULAR_STABILITY_LOAD|SHOULDER_JOINT_STABILITY_STRESS|SYSTEMIC|UPPER_BACK_LOAD;muscles=CORE|DEEP_CORE|LAT|LOWER_TRAP|REAR_DELT|RHOMBOID|SCAPULAR_STABILIZERS|TRAPEZIUS;roles=SHOULDER_CARE|SHOULDER_SCAPULAR_SUPPORTIVE;skills=DRIVE|OVERHEAD_CLEAR;qualities=SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=RACKET_SUPPORT|UNILATERAL_STABILITY;objectives=;fatigueCost=MEDIUM","level=SUPPORTIVE;types=SHOULDER_SCAPULAR_SUPPORTIVE;skills=DRIVE|OVERHEAD_CLEAR;qualities=SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=RACKET_SUPPORT;objectives=;fatigueCost=MEDIUM","removedAxes=UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_421ba24b","legacy derived badminton transfer inference","forceType=ACCELERATE;plane=MULTI_PLANAR;laterality=UNILATERAL;fatigue=ACHILLES_TENDON_STRESS|BADMINTON_DIRECT_TRANSFER|BADMINTON_FOOTWORK|BADMINTON_LUNGE_REACH|COURT_DECELERATION_IMPACT|COURT_SPORT_MOVEMENT_STRESS|DECELERATION|DECELERATION_LOAD|DECISION_MAKING_LOAD|ELASTIC_SSC|ELASTIC_SSC_LOAD|HIP_ROTATIONAL_CONTROL_STRESS|KNEE_ANKLE_STABILITY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|NEURAL_SPEED|NEURAL_SPEED_LOAD|PATELLAR_TENDON_STRESS|REACTION_LOAD|SYSTEMIC|VISUAL_TRACKING_LOAD;muscles=CORE|DEEP_CORE;roles=CONDITIONING|DECELERATION|FOOTWORK|FOOTWORK_DIRECT|LUNGE_REACH_DIRECT|REACTION|REACTION_DECISION_DIRECT;skills=DEFENSIVE_COVERAGE|FIRST_STEP|FRONT_COURT_LUNGE|LATERAL_LUNGE|SPLIT_STEP;qualities=DECELERATION|FIRST_STEP|HIP_CONTROL|LATERAL_MOVE|MULTI_DIRECTION|REACTION_RANDOM|REACTIVE_AGILITY|RECOVERY_STEP|SINGLE_LEG_STABILITY","axes=AEROBIC_FOOTWORK|DECELERATION_LANDING|LATERAL_MOVEMENT|UNILATERAL_STABILITY;objectives=ACCELERATION|CONDITIONING|DECELERATION|FOOTWORK|REACTION;fatigueCost=HIGH","level=DIRECT;types=FOOTWORK_DIRECT|LUNGE_REACH_DIRECT|REACTION_DECISION_DIRECT;skills=DEFENSIVE_COVERAGE|FIRST_STEP|FRONT_COURT_LUNGE|LATERAL_LUNGE|SPLIT_STEP;qualities=DECELERATION|HIP_CONTROL|REACTIVE_AGILITY|SINGLE_LEG_STABILITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT|UNILATERAL_STABILITY;objectives=ACCELERATION|DECELERATION|FOOTWORK;fatigueCost=HIGH","removedAxes=AEROBIC_FOOTWORK;removedObjectives=CONDITIONING|REACTION","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_4255e429","legacy derived badminton transfer inference","forceType=ACCELERATE;plane=MULTI_PLANAR;laterality=UNILATERAL;fatigue=ACHILLES_TENDON_STRESS|BADMINTON_DIRECT_TRANSFER|BADMINTON_FOOTWORK|BADMINTON_LUNGE_REACH|COURT_DECELERATION_IMPACT|COURT_SPORT_MOVEMENT_STRESS|DECELERATION|DECELERATION_LOAD|DECISION_MAKING_LOAD|ELASTIC_SSC|ELASTIC_SSC_LOAD|HIP_ROTATIONAL_CONTROL_STRESS|KNEE_ANKLE_STABILITY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|NEURAL_SPEED|NEURAL_SPEED_LOAD|PATELLAR_TENDON_STRESS|REACTION_LOAD|SYSTEMIC|VISUAL_TRACKING_LOAD;muscles=CORE|DEEP_CORE;roles=CONDITIONING|DECELERATION|FOOTWORK|FOOTWORK_DIRECT|LUNGE_REACH_DIRECT|REACTION|REACTION_DECISION_DIRECT;skills=DEFENSIVE_COVERAGE|FIRST_STEP|FRONT_COURT_LUNGE|LATERAL_LUNGE|SPLIT_STEP;qualities=DECELERATION|FIRST_STEP|HIP_CONTROL|MULTI_DIRECTION|REACTION_RANDOM|REACTIVE_AGILITY|RECOVERY_STEP|SINGLE_LEG_STABILITY","axes=AEROBIC_FOOTWORK|DECELERATION_LANDING|LATERAL_MOVEMENT|UNILATERAL_STABILITY;objectives=ACCELERATION|CONDITIONING|DECELERATION|FOOTWORK|REACTION;fatigueCost=HIGH","level=DIRECT;types=FOOTWORK_DIRECT|LUNGE_REACH_DIRECT|REACTION_DECISION_DIRECT;skills=DEFENSIVE_COVERAGE|FIRST_STEP|FRONT_COURT_LUNGE|LATERAL_LUNGE|SPLIT_STEP;qualities=DECELERATION|HIP_CONTROL|REACTIVE_AGILITY|SINGLE_LEG_STABILITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT|UNILATERAL_STABILITY;objectives=ACCELERATION|DECELERATION|FOOTWORK;fatigueCost=HIGH","removedAxes=AEROBIC_FOOTWORK;removedObjectives=CONDITIONING|REACTION","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_442617f6","legacy derived badminton transfer inference","forceType=BRACE;plane=TRANSVERSE;laterality=UNILATERAL;fatigue=ANTI_ROTATION|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|PECTORAL_LOCAL_LOAD|PECTORAL_TENDON_STRESS|SHOULDER_SCAPULAR_STABILITY_STRESS|SYSTEMIC;muscles=ANTERIOR_DELTOID|CHEST|CORE|DEEP_CORE|OBLIQUE;roles=ANTI_ROTATION_STABILITY;skills=;qualities=","axes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL|UNILATERAL_STABILITY;objectives=;fatigueCost=MEDIUM","level=NONE;types=;skills=;qualities=","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_462c760e","legacy derived badminton transfer inference","forceType=PULL;plane=TRANSVERSE;laterality=UNILATERAL;fatigue=BICEPS_LOAD|BICEPS_TENDON_STRESS|ELBOW_JOINT_STRESS|FOREARM_FLEXOR_TENDON_STRESS|GRIP_FOREARM|GRIP_LOAD|HORIZONTAL_ROW_STRESS|LAT_LOAD|LOCAL_MUSCLE|NEURAL_HEAVY|REAR_DELTOID_LOAD|SCAPULAR_STABILITY_LOAD|SHOULDER_JOINT_STABILITY_STRESS|SYSTEMIC|UPPER_BACK_LOAD;muscles=BICEPS|FOREARM|LAT;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=RACKET_SUPPORT|UNILATERAL_STABILITY;objectives=;fatigueCost=MEDIUM","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=RACKET_SUPPORT|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_4773b6ea","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=ACCELERATION_LOAD|ACHILLES_TENDON_STRESS|ANKLE_INVERSION_LIGAMENT_STRESS|CALF_ANKLE_SSC_LOAD|CARDIO_CONDITIONING_STRESS|ELASTIC_SSC|GLUTE_LOAD|HAMSTRING_LOAD|HAMSTRING_TENDON_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|NEURAL_LOAD|REPEATED_LOW_AMPLITUDE_IMPACT_STRESS|SYSTEMIC;muscles=CORE|DEEP_CORE;roles=GENERAL_CONDITIONING_SUPPORTIVE;skills=;qualities=ACCELERATION|ANAEROBIC_REPEATABILITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT|LOW_FATIGUE_CONTROL|ROTATION_CONTROL;objectives=ACCELERATION;fatigueCost=HIGH","level=GENERAL;types=GENERAL_CONDITIONING_SUPPORTIVE;skills=;qualities=ACCELERATION|ANAEROBIC_REPEATABILITY","axes=;objectives=ACCELERATION;fatigueCost=HIGH","removedAxes=DECELERATION_LANDING|LATERAL_MOVEMENT|LOW_FATIGUE_CONTROL|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_4aa3725a","legacy derived badminton transfer inference","forceType=PUSH;plane=SAGITTAL;laterality=BILATERAL;fatigue=DELTOID_LOAD|LOCAL_MUSCLE|NEURAL_HEAVY|OVERHEAD_PUSH_STRESS|OVERHEAD_REPETITION|OVERHEAD_REPETITION_LOAD|ROTATOR_CUFF_TENDON_STRESS|SHOULDER_SCAPULAR_STABILITY_STRESS|SYSTEMIC|TRICEPS_LOAD|TRICEPS_TENDON_STRESS;muscles=ANTERIOR_DELTOID|BACK|CORE|DEEP_CORE|LATERAL_DELTOID|SCAPULAR_STABILIZERS|SHOULDER|TRICEPS;roles=GENERAL_STRENGTH_SUPPORTIVE|SHOULDER_CARE;skills=;qualities=ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=RACKET_SUPPORT;objectives=;fatigueCost=MEDIUM","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=ROTATOR_CUFF_CONTROL|SCAPULAR_CONTROL|SHOULDER_DURABILITY","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=RACKET_SUPPORT;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_4c76dbb2","legacy derived badminton transfer inference","forceType=HINGE;plane=SAGITTAL;laterality=BILATERAL;fatigue=CORE_BRACING_LOAD|GLUTE_LOAD|HAMSTRING_LOAD|HAMSTRING_TENDON_STRESS|HINGE_POSTERIOR_CHAIN_STRESS|HIP_ROTATIONAL_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|SYSTEMIC;muscles=CORE|DEEP_CORE|ERECTOR_SPINAE|GLUTE|HAMSTRING;roles=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=UNILATERAL_STABILITY;objectives=;fatigueCost=HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE","axes=;objectives=;fatigueCost=HIGH","removedAxes=UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_4c779df2","legacy derived badminton transfer inference","forceType=BRACE;plane=TRANSVERSE;laterality=BILATERAL;fatigue=ANTI_ROTATION|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|PECTORAL_LOCAL_LOAD|PECTORAL_TENDON_STRESS|SHOULDER_SCAPULAR_STABILITY_STRESS|SYSTEMIC;muscles=ANTERIOR_DELTOID|CHEST|CORE|DEEP_CORE;roles=ANTI_ROTATION_STABILITY;skills=;qualities=","axes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;objectives=;fatigueCost=MEDIUM","level=NONE;types=;skills=;qualities=","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_5004ca76","legacy derived badminton transfer inference","forceType=ACCELERATE;plane=MULTI_PLANAR;laterality=UNILATERAL;fatigue=ACHILLES_TENDON_STRESS|BADMINTON_DIRECT_TRANSFER|BADMINTON_FOOTWORK|COURT_DECELERATION_IMPACT|COURT_SPORT_MOVEMENT_STRESS|DECELERATION|DECELERATION_LOAD|DECISION_MAKING_LOAD|ELASTIC_SSC|ELASTIC_SSC_LOAD|HIP_ROTATIONAL_CONTROL_STRESS|KNEE_ANKLE_STABILITY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|NEURAL_SPEED|NEURAL_SPEED_LOAD|PATELLAR_TENDON_STRESS|REACTION_LOAD|SYSTEMIC|VISUAL_TRACKING_LOAD;muscles=CORE|DEEP_CORE;roles=ACCELERATION|CHANGE_OF_DIRECTION_DIRECT|DECELERATION|FOOTWORK|FOOTWORK_DIRECT|REACTION|REACTION_DECISION_DIRECT;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP;qualities=ANKLE_STIFFNESS|DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|REACTIVE_AGILITY|RECOVERY_STEP|SINGLE_LEG_STABILITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT|UNILATERAL_STABILITY;objectives=ACCELERATION|DECELERATION|FOOTWORK|REACTION;fatigueCost=HIGH","level=DIRECT;types=CHANGE_OF_DIRECTION_DIRECT|FOOTWORK_DIRECT|REACTION_DECISION_DIRECT;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP;qualities=ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY|SINGLE_LEG_STABILITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT;objectives=ACCELERATION|DECELERATION|FOOTWORK;fatigueCost=HIGH","removedAxes=UNILATERAL_STABILITY;removedObjectives=REACTION","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_5322f2d1","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=UNILATERAL;fatigue=ANTI_ROTATION|ELBOW_EXTENSION_LOAD|ELBOW_TENDON_STRESS|GRIP_FOREARM|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|SYSTEMIC|TRICEPS_LOCAL_LOAD|TRICEPS_TENDON_STRESS;muscles=CORE|FOREARM|TRICEPS;roles=ANTI_ROTATION_STABILITY|GRIP_FOREARM;skills=;qualities=","axes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL|UNILATERAL_STABILITY;objectives=;fatigueCost=MEDIUM","level=NONE;types=;skills=;qualities=","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|RACKET_SUPPORT|ROTATION_CONTROL|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_5c8751d2","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=ACHILLES_TENDON_STRESS|ANKLE_EVERSION_CONTROL_STRESS|CALF_ANKLE_SSC_LOAD|ELASTIC_SSC|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|SYSTEMIC;muscles=CALF|CORE;roles=ANKLE_CALF_SSC_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP|SPLIT_STEP;qualities=ACCELERATION|ANKLE_STIFFNESS|CALF_ELASTICITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT|LOW_FATIGUE_CONTROL|ROTATION_CONTROL;objectives=ACCELERATION|FOOTWORK;fatigueCost=LOW","level=SUPPORTIVE;types=ANKLE_CALF_SSC_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP|SPLIT_STEP;qualities=ACCELERATION|ANKLE_STIFFNESS|CALF_ELASTICITY","axes=;objectives=ACCELERATION|FOOTWORK;fatigueCost=LOW","removedAxes=DECELERATION_LANDING|LATERAL_MOVEMENT|LOW_FATIGUE_CONTROL|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_5ca7133f","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=UNILATERAL;fatigue=ACHILLES_TENDON_STRESS|ANKLE_EVERSION_CONTROL_STRESS|CALF_ANKLE_SSC_LOAD|ELASTIC_SSC|ISOLATION_ACCESSORY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|SYSTEMIC;muscles=CALF|CORE;roles=ANKLE_CALF_SSC_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP|SPLIT_STEP;qualities=ACCELERATION|ANKLE_STIFFNESS|CALF_ELASTICITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT|LOW_FATIGUE_CONTROL|ROTATION_CONTROL|UNILATERAL_STABILITY;objectives=ACCELERATION|FOOTWORK;fatigueCost=LOW","level=SUPPORTIVE;types=ANKLE_CALF_SSC_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP|SPLIT_STEP;qualities=ACCELERATION|ANKLE_STIFFNESS|CALF_ELASTICITY","axes=;objectives=ACCELERATION|FOOTWORK;fatigueCost=LOW","removedAxes=DECELERATION_LANDING|LATERAL_MOVEMENT|LOW_FATIGUE_CONTROL|ROTATION_CONTROL|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_6232f4bc","legacy derived badminton transfer inference","forceType=SQUAT;plane=SAGITTAL;laterality=UNILATERAL;fatigue=GLUTE_LOAD|HIP_ROTATIONAL_CONTROL_STRESS|HIP_STABILITY_LOAD|KNEE_ANKLE_STABILITY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|PATELLAR_TENDON_STRESS|QUADRICEPS_LOAD|SYSTEMIC|UNILATERAL_LOWER_STABILITY_STRESS;muscles=CORE|DEEP_CORE|GLUTE;roles=LOWER_BODY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP;qualities=FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY","axes=LOW_FATIGUE_CONTROL|UNILATERAL_STABILITY;objectives=ACCELERATION;fatigueCost=HIGH","level=SUPPORTIVE;types=LOWER_BODY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP;qualities=FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY","axes=;objectives=ACCELERATION;fatigueCost=HIGH","removedAxes=LOW_FATIGUE_CONTROL|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_64422511","legacy derived badminton transfer inference","forceType=ACCELERATE;plane=MULTI_PLANAR;laterality=UNILATERAL;fatigue=ACHILLES_TENDON_STRESS|BADMINTON_DIRECT_TRANSFER|BADMINTON_FOOTWORK|COURT_DECELERATION_IMPACT|COURT_SPORT_MOVEMENT_STRESS|DECELERATION|DECELERATION_LOAD|DECISION_MAKING_LOAD|ELASTIC_SSC|ELASTIC_SSC_LOAD|HIP_ROTATIONAL_CONTROL_STRESS|KNEE_ANKLE_STABILITY_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|NEURAL_SPEED|NEURAL_SPEED_LOAD|PATELLAR_TENDON_STRESS|REACTION_LOAD|SYSTEMIC|VISUAL_TRACKING_LOAD;muscles=CORE|DEEP_CORE;roles=CHANGE_OF_DIRECTION_DIRECT|DECELERATION|FOOTWORK|FOOTWORK_DIRECT|REACTION|REACTION_DECISION_DIRECT;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP;qualities=ANKLE_STIFFNESS|DECELERATION|FIRST_STEP|MULTI_DIRECTION|REACTION_RANDOM|REACTIVE_AGILITY|RECOVERY_STEP|SINGLE_LEG_STABILITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT|UNILATERAL_STABILITY;objectives=ACCELERATION|DECELERATION|FOOTWORK|REACTION;fatigueCost=HIGH","level=DIRECT;types=CHANGE_OF_DIRECTION_DIRECT|FOOTWORK_DIRECT|REACTION_DECISION_DIRECT;skills=CHANGE_OF_DIRECTION|DEFENSIVE_COVERAGE|FIRST_STEP|SPLIT_STEP;qualities=ANKLE_STIFFNESS|DECELERATION|REACTIVE_AGILITY|SINGLE_LEG_STABILITY","axes=DECELERATION_LANDING|LATERAL_MOVEMENT;objectives=ACCELERATION|DECELERATION|FOOTWORK;fatigueCost=HIGH","removedAxes=UNILATERAL_STABILITY;removedObjectives=REACTION","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_644e0f9d","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=ANTERIOR_CORE_LOAD|ANTI_ROTATION|DYNAMIC_CORE_FLEXION_STRESS|HIP_FLEXION_LOAD|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|NEURAL_HEAVY|SYSTEMIC;muscles=CORE|DEEP_CORE;roles=ANTI_ROTATION_STABILITY|GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=CORE_BRACING","axes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;objectives=;fatigueCost=HIGH","level=GENERAL;types=GENERAL_STRENGTH_SUPPORTIVE;skills=;qualities=CORE_BRACING","axes=;objectives=;fatigueCost=HIGH","removedAxes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_6463edad","legacy derived badminton transfer inference","forceType=BRACE;plane=SAGITTAL;laterality=BILATERAL;fatigue=ANTI_ROTATION|DIP_PUSH_STRESS|LOCAL_MUSCLE|NEURAL_HEAVY|PECTORAL_LOAD|PECTORAL_TENDON_STRESS|SHOULDER_EXTENSION_LOAD|SHOULDER_EXTENSION_STABILITY_STRESS|SYSTEMIC|TRICEPS_LOAD|TRICEPS_TENDON_STRESS;muscles=ANTERIOR_DELTOID|CHEST|CORE|DEEP_CORE|TRICEPS;roles=ANTI_ROTATION_STABILITY;skills=;qualities=","axes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;objectives=;fatigueCost=MEDIUM","level=NONE;types=;skills=;qualities=","axes=;objectives=;fatigueCost=MEDIUM","removedAxes=LOW_FATIGUE_CONTROL|ROTATION_CONTROL;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
"ex_64644b5e","legacy derived badminton transfer inference","forceType=SQUAT;plane=SAGITTAL;laterality=UNILATERAL;fatigue=DECELERATION|DECELERATION_LOAD|DIRECTION_CHANGE_IMPACT_STRESS|GLUTE_LOAD|HIP_ROTATIONAL_CONTROL_STRESS|KNEE_VALGUS_CONTROL_STRESS|LOCAL_MUSCLE|LUMBOPELVIC_CONTROL_STRESS|LUNGE_DECELERATION_STRESS|LUNGE_REACH_LOAD|NEURAL_HEAVY|PATELLAR_TENDON_STRESS|QUAD_LOAD|SINGLE_LEG_STABILITY_LOAD|SYSTEMIC;muscles=CORE|DEEP_CORE|GLUTE|HAMSTRING|QUADRICEPS;roles=LOWER_BODY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP;qualities=FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY","axes=DECELERATION_LANDING|UNILATERAL_STABILITY;objectives=ACCELERATION;fatigueCost=HIGH","level=SUPPORTIVE;types=LOWER_BODY_SUPPORTIVE;skills=CHANGE_OF_DIRECTION|FIRST_STEP;qualities=FRONTAL_PLANE_CONTROL|HIP_CONTROL|HIP_KNEE_EXTENSION_STRENGTH|LOWER_BODY_FORCE|SINGLE_LEG_STABILITY","axes=;objectives=ACCELERATION;fatigueCost=HIGH","removedAxes=DECELERATION_LANDING|UNILATERAL_STABILITY;removedObjectives=","NONE","NONE","INTENTIONAL_OBSOLETE_INFORMATION_REMOVED"
