"exerciseName","stableKey","movementFamily","decision","decisionBasis","decisionReason","changedFields","badmintonTransferLevel","badmintonTransferType","badmintonSkillTargets","badmintonPhysicalQualities","transferConfidence","previousPlaceholder","safeForSeedMutation"
"스탠딩 레그 컬","ex_b59bed7d","HAMSTRING_CURL_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"스탠딩 카프 레이즈","ex_bd072cd","CALF_RAISE_ANKLE_STIFFNESS_VARIANTS","DERIVED_SUPPORTIVE_ANKLE_SSC","movementFamily","Calf/ankle reactive family supports ankle stiffness and first-step qualities.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","ANKLE_CALF_SSC_SUPPORTIVE","SPLIT_STEP|FIRST_STEP|CHANGE_OF_DIRECTION","ANKLE_STIFFNESS|CALF_ELASTICITY|ACCELERATION","MEDIUM","NONE","NO"
"스트레이트암 풀다운","ex_ca5cce66","LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"스파이더 컬","ex_516f4456","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"스플릿 스쿼트","ex_f2a79d37","LUNGE_SPLIT_SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"시티드 원암 케이블 로우","ex_a76f20b6","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"시티드 카프 레이즈","ex_5c8751d2","CALF_RAISE_ANKLE_STIFFNESS_VARIANTS","DERIVED_SUPPORTIVE_ANKLE_SSC","movementFamily","Calf/ankle reactive family supports ankle stiffness and first-step qualities.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","ANKLE_CALF_SSC_SUPPORTIVE","SPLIT_STEP|FIRST_STEP|CHANGE_OF_DIRECTION","ANKLE_STIFFNESS|CALF_ELASTICITY|ACCELERATION","MEDIUM","NONE","NO"
"싱글 레그 글루트 브릿지","ex_5715d6ca","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"싱글 레그 레그 익스텐션","ex_d60745b4","KNEE_EXTENSION_QUAD_ISOLATION","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"싱글 레그 레그 컬","ex_8824026f","HAMSTRING_CURL_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"싱글 레그 카프 레이즈","ex_5ca7133f","CALF_RAISE_ANKLE_STIFFNESS_VARIANTS","DERIVED_SUPPORTIVE_ANKLE_SSC","movementFamily","Calf/ankle reactive family supports ankle stiffness and first-step qualities.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","ANKLE_CALF_SSC_SUPPORTIVE","SPLIT_STEP|FIRST_STEP|CHANGE_OF_DIRECTION","ANKLE_STIFFNESS|CALF_ELASTICITY|ACCELERATION","MEDIUM","NONE","NO"
"싱글 레그 힙 쓰러스트","ex_d634055c","HIP_THRUST_GLUTE_BRIDGE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"아놀드 프레스","ex_767e188e","OVERHEAD_PRESS_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"아처 푸시업","ex_73b0b63f","PUSH_UP_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"오버헤드 트라이셉스 익스텐션","ex_a9e8859c","OVERHEAD_TRICEPS_LONG_HEAD_REVIEW","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"오버헤드 프레스","ex_32219f7a","OVERHEAD_PRESS_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"워킹 런지","ex_e3715c0b","LUNGE_SPLIT_SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"원레그 레그 프레스","ex_a091b9fe","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"원레그 핵 스쿼트","ex_f1d31d3d","SQUAT_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"원암 덤벨 RDL","ex_e0b1e364","DEADLIFT_HINGE_VARIANTS","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH|SINGLE_LEG_STABILITY|HIP_CONTROL|FRONTAL_PLANE_CONTROL","MEDIUM","NONE","NO"
"원암 덤벨 로우","ex_30a0e9aa","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"원암 덤벨 벤치프레스","ex_389e0556","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"원암 덤벨 숄더프레스","ex_7814843a","OVERHEAD_PRESS_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"원암 덤벨 오버헤드 트라이셉스 익스텐션","ex_fdbdf454","OVERHEAD_TRICEPS_LONG_HEAD_REVIEW","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"원암 덤벨 컬","ex_85b2ac56","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"원암 랫풀다운","ex_32eb8457","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"원암 로우","ex_e3487166","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"원암 리어델트 케이블 플라이","ex_a60496be","REAR_DELT_FLY_HORIZONTAL_ABDUCTION_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"원암 머신 로우","ex_33d2da8e","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"원암 스트레이트암 풀다운","ex_c365e5e2","LAT_STRAIGHT_ARM_PULLDOWN_OR_PULLOVER_ACCESSORY","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"원암 인버티드 로우","ex_d9084b5e","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"원암 인클라인 덤벨 프레스","ex_9f283612","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"원암 케이블 래터럴 레이즈","ex_b076570e","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"원암 케이블 숄더프레스","ex_c536edc2","OVERHEAD_PRESS_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"원암 케이블 컬","ex_3d5719de","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"원암 케이블 트라이셉스 푸시다운","ex_5322f2d1","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"원암 케이블 플라이","ex_442617f6","CHEST_ISOLATION","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"원암 케이블 하이 로우","ex_40fa57be","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"원암 해머 컬","ex_86323ed6","ELBOW_FLEXION_BRACHIALIS_BRACHIORADIALIS_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"월싯","ex_64661229","KNEE_DOMINANT_ISOMETRIC","DERIVED_SUPPORTIVE_LOWER_BODY","movementFamily+programSlot","Structured lower-body family supports force, stability, or acceleration qualities without direct sport transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","LOWER_BODY_SUPPORTIVE","FIRST_STEP|CHANGE_OF_DIRECTION","LOWER_BODY_FORCE|HIP_KNEE_EXTENSION_STRENGTH","MEDIUM","NONE","NO"
"인버티드 로우","ex_e159d15a","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"인클라인 덤벨 컬","ex_d5048362","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"인클라인 덤벨 프레스","ex_a61f1e96","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","DERIVED_GENERAL_STRENGTH","movementFamily","General upper-body strength without a specific badminton transfer pathway.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","NONE","LOW","NONE","NO"
"인클라인 덤벨 플라이","ex_a61f307a","CHEST_ISOLATION","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
"중량 친업","ex_e41e8dcf","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"중량 풀업","ex_e41f4c2b","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"체스트 서포티드 로우","ex_8e51640a","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"체스트 서포티드 원암 덤벨 로우","ex_6a966452","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"체스트 서포티드 원암 로우","ex_462c760e","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"친업","ex_6466fe77","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"카프 레이즈","ex_f892893e","CALF_RAISE_ANKLE_STIFFNESS_VARIANTS","DERIVED_SUPPORTIVE_ANKLE_SSC","movementFamily","Calf/ankle reactive family supports ankle stiffness and first-step qualities.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","ANKLE_CALF_SSC_SUPPORTIVE","SPLIT_STEP|FIRST_STEP|CHANGE_OF_DIRECTION","ANKLE_STIFFNESS|CALF_ELASTICITY|ACCELERATION","MEDIUM","NONE","NO"
"캡틴체어 레그 레이즈","ex_a345e30b","CORE_FLEXION_ANTERIOR_CORE","DERIVED_GENERAL_STRENGTH","movementFamily","Broad capacity only; no direct or specific supportive claim is made.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","GENERAL","GENERAL_STRENGTH_SUPPORTIVE","NONE","CORE_BRACING","LOW","NONE","NO"
"컨센트레이션 컬","ex_c62c0716","ELBOW_FLEXION_BICEPS_CURL_VARIANTS","DERIVED_SUPPORTIVE_GRIP","movementFamily","Grip/forearm pathway is plausible but remains low-confidence supportive transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","GRIP_WRIST_SUPPORTIVE","DRIVE|NET_PLAY","GRIP_ENDURANCE","LOW","NONE","NO"
"케이블 래터럴 레이즈","ex_b76d3f92","LATERAL_RAISE_DELTOID_ISOLATION_VARIANTS","DERIVED_SUPPORTIVE_SHOULDER","movementFamily+programSlot","Shoulder/scapular family supports durability and control; it is not direct racket transfer.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|SMASH|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL|ROTATOR_CUFF_CONTROL","MEDIUM","NONE","NO"
"케이블 로우","ex_fa31f7a6","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"케이블 원암 로우","ex_3c3692aa","ROW_VARIANTS","DERIVED_SUPPORTIVE_SCAPULAR_PULL","movementFamily","Pulling family provides broad scapular support with low transfer confidence.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","SUPPORTIVE","SHOULDER_SCAPULAR_SUPPORTIVE","OVERHEAD_CLEAR|DRIVE","SHOULDER_DURABILITY|SCAPULAR_CONTROL","LOW","NONE","NO"
"케이블 원암 트라이셉스 익스텐션","ex_eb636bac","ELBOW_EXTENSION_TRICEPS_ISOLATION_VARIANTS","ASSIGNED_NONE","movementFamily","No sufficiently specific badminton transfer pathway is asserted.","badmintonTransferLevel|badmintonTransferType|badmintonSkillTargets|badmintonPhysicalQualities|transferConfidence","NONE","NONE","NONE","NONE","NONE","NONE","NO"
