"exerciseName","stableKey","currentCategoryType","estimatedMovementFamily","estimatedFamilyConfidence","estimateReason","missingDetailedMuscleTag","missingMuscleContribution","missingProgramSlot","missingRedundancyGroup","suspiciousSportSessionProgramSelectable","badmintonDirectPlayConflict","highAxialPlyometricDecelerationConflict","sourceIdIssue","sourceIds","automaticFixPossible","manualReviewRequired","manualReviewReasons"
"랫풀다운","ex_dc9e5953","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_VERTICAL|BACK_STRENGTH|SCAPULAR_CONTROL","PULL_UP_CHIN_UP_LAT_PULLDOWN_VARIANTS","HIGH","vertical pull structured metadata","LATISSIMUS_DORSI, TERES_MAJOR | secondary: BICEPS_BRACHII, BRACHIALIS, BRACHIORADIALIS, TRAPEZIUS_LOWER, TRAPEZIUS_MIDDLE | stabilizers: GRIP_FLEXORS, DEEP_CORE, ROTATOR_CUFF_EXTERNAL","LATISSIMUS_DORSI 0.32, TERES_MAJOR 0.10, BICEPS_BRACHII 0.14, BRACHIALIS 0.07, BRACHIORADIALIS 0.06, TRAPEZIUS_LOWER 0.08, TRAPEZIUS_MIDDLE 0.06, GRIP_FLEXORS 0.08, DEEP_CORE 0.05, ROTATOR_CUFF_EXTERNAL 0.04","VERTICAL_PULL_STRENGTH","VERTICAL_PULL_COMPOUND","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924","A_OPENSTAX_11_5|C_LAT_PULLDOWN_EMG_PMC449729|E_BADMINTON_INJURY_PMC7205924","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"런지","ex_64644b5e","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","LUNGE_SPLIT_SQUAT_VARIANTS","HIGH","lunge/split-squat subtype before broad knee-dominant mapping","QUADRICEPS, RECTUS_FEMORIS, GLUTE_MAX | secondary: HAMSTRINGS, HIP_ADDUCTORS, GASTROCNEMIUS, SOLEUS | stabilizers: GLUTE_MED_MIN, DEEP_CORE, OBLIQUES, TIBIALIS_ANTERIOR","QUADRICEPS 0.25, RECTUS_FEMORIS 0.10, GLUTE_MAX 0.25, HAMSTRINGS 0.10, HIP_ADDUCTORS 0.08, GASTROCNEMIUS 0.05, SOLEUS 0.05, GLUTE_MED_MIN 0.05, DEEP_CORE 0.04, OBLIQUES 0.03","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","A_OPENSTAX_11_6|E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"레그 익스텐션","ex_b78a8f95","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=KNEE_EXTENSION|QUAD_ISOLATION","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","HIGH","knee extension / quad isolation subtype","QUADRICEPS, RECTUS_FEMORIS | secondary: GLUTE_MAX, HAMSTRINGS, GASTROCNEMIUS | stabilizers: DEEP_CORE, GLUTE_MED_MIN","QUADRICEPS 0.40, RECTUS_FEMORIS 0.12, GLUTE_MAX 0.18, HAMSTRINGS 0.08, GASTROCNEMIUS 0.05, GLUTE_MED_MIN 0.05, DEEP_CORE 0.05, HIP_ADDUCTORS 0.07","LOWER_MACHINE_STRENGTH","KNEE_DOMINANT_MACHINE","NO","NO","NO","NO","A_OPENSTAX_11_6|B_ACSM_2009_PMID19204579","YES_TEMPLATE_DEFAULTS","NO",""
"레그 컬","ex_2822ec2e","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=KNEE_FLEXION|HAMSTRING_STRENGTH","HAMSTRING_CURL_VARIANTS","HIGH","hamstring knee-flexion token","HAMSTRINGS | secondary: GASTROCNEMIUS, GLUTE_MAX | stabilizers: GLUTE_MED_MIN, DEEP_CORE","HAMSTRINGS 0.65, GASTROCNEMIUS 0.10, GLUTE_MAX 0.05, GLUTE_MED_MIN 0.08, DEEP_CORE 0.07, HIP_ADDUCTORS 0.05","POSTERIOR_CHAIN_ACCESSORY","HAMSTRING_KNEE_FLEXION","NO","NO","NO","NO","A_OPENSTAX_11_6|B_ACSM_2009_PMID19204579","YES_TEMPLATE_DEFAULTS","NO",""
"레그 프레스","ex_ab468462","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH","LEG_PRESS_KNEE_DOMINANT_MACHINE_VARIANTS","MEDIUM","knee-dominant lower body structured metadata","QUADRICEPS, RECTUS_FEMORIS | secondary: GLUTE_MAX, HAMSTRINGS, GASTROCNEMIUS | stabilizers: DEEP_CORE, GLUTE_MED_MIN","QUADRICEPS 0.40, RECTUS_FEMORIS 0.12, GLUTE_MAX 0.18, HAMSTRINGS 0.08, GASTROCNEMIUS 0.05, GLUTE_MED_MIN 0.05, DEEP_CORE 0.05, HIP_ADDUCTORS 0.07","LOWER_MACHINE_STRENGTH","KNEE_DOMINANT_MACHINE","NO","NO","NO","NO","A_OPENSTAX_11_6|B_ACSM_2009_PMID19204579","PARTIAL","YES","LOW_OR_MEDIUM_FAMILY_CONFIDENCE"
"로프 해머 컬","ex_c1a81cb2","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","BICEPS_TRICEPS_ISOLATION_VARIANTS","HIGH","arm isolation structured metadata","BICEPS_BRACHII or TRICEPS_BRACHII | secondary: BRACHIALIS, BRACHIORADIALIS, FOREARM_FLEXORS, FOREARM_EXTENSORS, GRIP_FLEXORS | stabilizers: DEEP_CORE","target arm muscle 0.55, BRACHIALIS 0.10, BRACHIORADIALIS 0.08, FOREARM_FLEXORS 0.08, FOREARM_EXTENSORS 0.05, GRIP_FLEXORS 0.07, DEEP_CORE 0.07","ARM_ACCESSORY","ARM_ISOLATION","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","A_OPENSTAX_11_5|E_BADMINTON_INJURY_PMC7205924","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"루마니안 데드리프트","ex_d2bb7946","category=근력운동; movement_category=STRENGTH; force_type=HINGE; movement_pattern=HIP_HINGE|POSTERIOR_CHAIN_STRENGTH","DEADLIFT_HINGE_VARIANTS","HIGH","hinge structured metadata","GLUTE_MAX, HAMSTRINGS, ERECTOR_SPINAE | secondary: LATISSIMUS_DORSI, GRIP_FLEXORS, TRAPEZIUS_MIDDLE, DEEP_CORE | stabilizers: GLUTE_MED_MIN, OBLIQUES, RHOMBOIDS","GLUTE_MAX 0.25, HAMSTRINGS 0.25, ERECTOR_SPINAE 0.20, LATISSIMUS_DORSI 0.08, GRIP_FLEXORS 0.07, DEEP_CORE 0.07, TRAPEZIUS_MIDDLE 0.04, GLUTE_MED_MIN 0.04","MAIN_HINGE_STRENGTH or POSTERIOR_CHAIN_ACCESSORY","HEAVY_HINGE","NO","NO","HIGH_AXIAL_REVIEW","NO","A_OPENSTAX_11_6|C_DEADLIFT_EMG_PMC7046193|C_GLUTE_MAX_REVIEW_PMC7039033","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","HIGH_STRESS_SESSION_CLUSTER_REVIEW"
"리닝 래터럴 레이즈","ex_70f19bf","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=SHOULDER_ABDUCTION|SHOULDER_ISOLATION|SHOULDER_ACCESSORY|UNILATERAL_UPPER","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","HIGH","deltoid isolation structured metadata","LATERAL_DELTOID, POSTERIOR_DELTOID | secondary: TRAPEZIUS_UPPER, TRAPEZIUS_MIDDLE, ROTATOR_CUFF_EXTERNAL | stabilizers: SERRATUS_ANTERIOR, DEEP_CORE","LATERAL_DELTOID 0.35, POSTERIOR_DELTOID 0.25, TRAPEZIUS_UPPER 0.10, TRAPEZIUS_MIDDLE 0.08, ROTATOR_CUFF_EXTERNAL 0.10, SERRATUS_ANTERIOR 0.07, DEEP_CORE 0.05","SHOULDER_ACCESSORY","DELTOID_ISOLATION","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"리버스 노르딕 컬","ex_8a3800f1","category=근력운동; movement_category=SUPPORT; force_type=ECCENTRIC; movement_pattern=KNEE_FLEXION|HAMSTRING_STRENGTH|ECCENTRIC_HAMSTRING|DECELERATION_SUPPORT","HAMSTRING_CURL_VARIANTS","HIGH","hamstring knee-flexion token","HAMSTRINGS | secondary: GASTROCNEMIUS, GLUTE_MAX | stabilizers: GLUTE_MED_MIN, DEEP_CORE","HAMSTRINGS 0.65, GASTROCNEMIUS 0.10, GLUTE_MAX 0.05, GLUTE_MED_MIN 0.08, DEEP_CORE 0.07, HIP_ADDUCTORS 0.05","POSTERIOR_CHAIN_ACCESSORY","HAMSTRING_KNEE_FLEXION","NO","NO","NO","NO","A_OPENSTAX_11_6|B_ACSM_2009_PMID19204579","YES_TEMPLATE_DEFAULTS","NO",""
"리버스 런지","ex_c8bcf3ce","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|LUNGE_PATTERN|UNILATERAL_LOWER","LUNGE_SPLIT_SQUAT_VARIANTS","HIGH","lunge/split-squat subtype before broad knee-dominant mapping","QUADRICEPS, RECTUS_FEMORIS, GLUTE_MAX | secondary: HAMSTRINGS, HIP_ADDUCTORS, GASTROCNEMIUS, SOLEUS | stabilizers: GLUTE_MED_MIN, DEEP_CORE, OBLIQUES, TIBIALIS_ANTERIOR","QUADRICEPS 0.25, RECTUS_FEMORIS 0.10, GLUTE_MAX 0.25, HAMSTRINGS 0.10, HIP_ADDUCTORS 0.08, GASTROCNEMIUS 0.05, SOLEUS 0.05, GLUTE_MED_MIN 0.05, DEEP_CORE 0.04, OBLIQUES 0.03","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","A_OPENSTAX_11_6|E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"리버스 리스트 컬","ex_8e18b02a","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT","FOREARM_GRIP_ACCESSORY_REVIEW","MEDIUM","forearm accessory; do not auto-map to biceps/triceps isolation","NO_TEMPLATE_MATCH","NO_TEMPLATE_MATCH","NO_TEMPLATE_MATCH","NO_TEMPLATE_MATCH","NO","NO","NO","MISSING_SOURCE_ID","","NO","YES","NO_TEMPLATE_MATCH|LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW"
"리버스 컬","ex_dd2f732e","category=근력운동; movement_category=ACCESSORY; force_type=ISOLATION; movement_pattern=ELBOW_FLEXION|BICEPS_ACCESSORY|FOREARM_GRIP_SUPPORT|BRACHIALIS_BRACHIORADIALIS","BICEPS_TRICEPS_ISOLATION_VARIANTS","HIGH","arm isolation structured metadata","BICEPS_BRACHII or TRICEPS_BRACHII | secondary: BRACHIALIS, BRACHIORADIALIS, FOREARM_FLEXORS, FOREARM_EXTENSORS, GRIP_FLEXORS | stabilizers: DEEP_CORE","target arm muscle 0.55, BRACHIALIS 0.10, BRACHIORADIALIS 0.08, FOREARM_FLEXORS 0.08, FOREARM_EXTENSORS 0.05, GRIP_FLEXORS 0.07, DEEP_CORE 0.07","ARM_ACCESSORY","ARM_ISOLATION","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_INJURY_PMC7205924","A_OPENSTAX_11_5|E_BADMINTON_INJURY_PMC7205924","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"리어델트 케이블 플라이","ex_7deabeba","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","MEDIUM","rear-delt fly priority before row/scapular retraction mapping","LATERAL_DELTOID, POSTERIOR_DELTOID | secondary: TRAPEZIUS_UPPER, TRAPEZIUS_MIDDLE, ROTATOR_CUFF_EXTERNAL | stabilizers: SERRATUS_ANTERIOR, DEEP_CORE","LATERAL_DELTOID 0.35, POSTERIOR_DELTOID 0.25, TRAPEZIUS_UPPER 0.10, TRAPEZIUS_MIDDLE 0.08, ROTATOR_CUFF_EXTERNAL 0.10, SERRATUS_ANTERIOR 0.07, DEEP_CORE 0.05","SHOULDER_ACCESSORY","DELTOID_ISOLATION","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390","PARTIAL","YES","LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW"
"리어델트 플라이","ex_7176cbee","category=근력운동; movement_category=ACCESSORY; force_type=PULL; movement_pattern=SHOULDER_HORIZONTAL_ABDUCTION|REAR_DELTOID_ISOLATION|SHOULDER_ACCESSORY|SCAPULAR_RETRACTION","LATERAL_RAISE_REAR_DELT_RAISE_VARIANTS","MEDIUM","rear-delt fly priority before row/scapular retraction mapping","LATERAL_DELTOID, POSTERIOR_DELTOID | secondary: TRAPEZIUS_UPPER, TRAPEZIUS_MIDDLE, ROTATOR_CUFF_EXTERNAL | stabilizers: SERRATUS_ANTERIOR, DEEP_CORE","LATERAL_DELTOID 0.35, POSTERIOR_DELTOID 0.25, TRAPEZIUS_UPPER 0.10, TRAPEZIUS_MIDDLE 0.08, ROTATOR_CUFF_EXTERNAL 0.10, SERRATUS_ANTERIOR 0.07, DEEP_CORE 0.05","SHOULDER_ACCESSORY","DELTOID_ISOLATION","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390","PARTIAL","YES","LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW"
"리어풋 엘리베이티드 스플릿 스쿼트","ex_bb728af2","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN|UNILATERAL_LOWER|HIP_STABILITY_SUPPORT","LUNGE_SPLIT_SQUAT_VARIANTS","HIGH","lunge/split-squat subtype before broad knee-dominant mapping","QUADRICEPS, RECTUS_FEMORIS, GLUTE_MAX | secondary: HAMSTRINGS, HIP_ADDUCTORS, GASTROCNEMIUS, SOLEUS | stabilizers: GLUTE_MED_MIN, DEEP_CORE, OBLIQUES, TIBIALIS_ANTERIOR","QUADRICEPS 0.25, RECTUS_FEMORIS 0.10, GLUTE_MAX 0.25, HAMSTRINGS 0.10, HIP_ADDUCTORS 0.08, GASTROCNEMIUS 0.05, SOLEUS 0.05, GLUTE_MED_MIN 0.05, DEEP_CORE 0.04, OBLIQUES 0.03","UNILATERAL_LOWER_STRENGTH","LUNGE_UNILATERAL_LOWER","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","A_OPENSTAX_11_6|E_BADMINTON_LUNGE_PMC7648456|C_GLUTE_MED_MIN_META_PMC7727410","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"링 로우","ex_282a9d87","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|CORE_STABILITY_SUPPORT","ROW_VARIANTS","HIGH","horizontal pull structured metadata","LATISSIMUS_DORSI, RHOMBOIDS, TRAPEZIUS_MIDDLE | secondary: POSTERIOR_DELTOID, BICEPS_BRACHII, BRACHIALIS, BRACHIORADIALIS | stabilizers: TRAPEZIUS_LOWER, ROTATOR_CUFF_EXTERNAL, GRIP_FLEXORS, DEEP_CORE, OBLIQUES","LATISSIMUS_DORSI 0.25, RHOMBOIDS 0.15, TRAPEZIUS_MIDDLE 0.15, POSTERIOR_DELTOID 0.12, BICEPS_BRACHII 0.10, BRACHIALIS 0.05, BRACHIORADIALIS 0.04, GRIP_FLEXORS 0.05, TRAPEZIUS_LOWER 0.04, DEEP_CORE 0.03, OBLIQUES 0.02","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","A_OPENSTAX_11_5|C_INVERTED_ROW_EMG_SNARR_ESCO_2013|D_SCAP_ROTATOR_CUFF_PMC2857390","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW"
"마운틴 클라이머","ex_a9b52886","category=근력운동; movement_category=CONDITIONING; force_type=MIXED; movement_pattern=FULL_BODY_CONDITIONING|CORE_STABILITY|HIP_FLEXOR_ACCESSORY|SHOULDER_STABILITY_SUPPORT","CARDIO_RECORDS","MEDIUM","conditioning/cardio structured token","activity-specific or blank if unknown | secondary: broad exposure only | stabilizers: low to moderate postural stability","NONE unless activity-specific source exists","CONDITIONING","GENERAL_CONDITIONING","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:B_ACSM_2026_PMID41843416","B_NSCA_ESSENTIALS_5E|B_ACSM_2026_PMID41843416","PARTIAL","YES","LOW_OR_MEDIUM_FAMILY_CONFIDENCE|SOURCE_REVIEW"
"맨몸 스쿼트","ex_cb3c4dc2","category=근력운동; movement_category=STRENGTH; force_type=LOWER_BODY; movement_pattern=KNEE_DOMINANT|LOWER_BODY_STRENGTH|SQUAT_PATTERN","SQUAT_VARIANTS","HIGH","squat subtype before broad knee-dominant mapping","QUADRICEPS, RECTUS_FEMORIS, GLUTE_MAX | secondary: HAMSTRINGS, ERECTOR_SPINAE, GLUTE_MED_MIN | stabilizers: DEEP_CORE, OBLIQUES, HIP_ADDUCTORS","QUADRICEPS 0.30, RECTUS_FEMORIS 0.10, GLUTE_MAX 0.25, HAMSTRINGS 0.08, ERECTOR_SPINAE 0.10, DEEP_CORE 0.07, GLUTE_MED_MIN 0.05, HIP_ADDUCTORS 0.05","MAIN_LOWER_STRENGTH","SQUAT_PATTERN_HEAVY_LOWER","NO","NO","NO","NO","A_OPENSTAX_11_6|B_ACSM_2009_PMID19204579|B_NSCA_ESSENTIALS_5E|C_GLUTE_MAX_REVIEW_PMC7039033","YES_TEMPLATE_DEFAULTS","NO",""
"머신 숄더프레스","ex_4aa3725a","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_VERTICAL|SHOULDER_STRENGTH|SCAPULAR_UPWARD_ROTATION","OVERHEAD_PRESS_LANDMINE_PRESS_VARIANTS","HIGH","vertical push structured metadata","ANTERIOR_DELTOID, LATERAL_DELTOID, TRICEPS_BRACHII | secondary: PECTORALIS_MAJOR_CLAVICULAR, SERRATUS_ANTERIOR, TRAPEZIUS_UPPER | stabilizers: ROTATOR_CUFF_EXTERNAL, ROTATOR_CUFF_INTERNAL, TRAPEZIUS_LOWER, DEEP_CORE, OBLIQUES","ANTERIOR_DELTOID 0.25, LATERAL_DELTOID 0.15, TRICEPS_BRACHII 0.20, PECTORALIS_MAJOR_CLAVICULAR 0.08, SERRATUS_ANTERIOR 0.08, TRAPEZIUS_UPPER 0.06, ROTATOR_CUFF_EXTERNAL 0.06, ROTATOR_CUFF_INTERNAL 0.04, TRAPEZIUS_LOWER 0.04, DEEP_CORE 0.04","VERTICAL_PUSH_STRENGTH","VERTICAL_PUSH_OVERHEAD","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"머신 체스트프레스","ex_1dbee10e","category=근력운동; movement_category=STRENGTH; force_type=PUSH; movement_pattern=PUSH_HORIZONTAL|CHEST_STRENGTH","BENCH_PRESS_DUMBBELL_PRESS_MACHINE_PRESS_VARIANTS","HIGH","horizontal push structured metadata","PECTORALIS_MAJOR_STERNAL, PECTORALIS_MAJOR_CLAVICULAR, ANTERIOR_DELTOID | secondary: TRICEPS_BRACHII, SERRATUS_ANTERIOR | stabilizers: ROTATOR_CUFF_EXTERNAL, ROTATOR_CUFF_INTERNAL, DEEP_CORE","PECTORALIS_MAJOR_STERNAL 0.30, PECTORALIS_MAJOR_CLAVICULAR 0.15, ANTERIOR_DELTOID 0.20, TRICEPS_BRACHII 0.20, SERRATUS_ANTERIOR 0.05, ROTATOR_CUFF_EXTERNAL 0.05, DEEP_CORE 0.05","UPPER_PUSH_STRENGTH","HORIZONTAL_PUSH_COMPOUND","NO","NO","NO","NO","A_OPENSTAX_11_5|C_BENCH_INCLINE_EMG_PMC7579505|B_ACSM_2009_PMID19204579","YES_TEMPLATE_DEFAULTS","NO",""
"메도우즈 로우","ex_f459ad2a","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION|UNILATERAL_UPPER","ROW_VARIANTS","HIGH","horizontal pull structured metadata","LATISSIMUS_DORSI, RHOMBOIDS, TRAPEZIUS_MIDDLE | secondary: POSTERIOR_DELTOID, BICEPS_BRACHII, BRACHIALIS, BRACHIORADIALIS | stabilizers: TRAPEZIUS_LOWER, ROTATOR_CUFF_EXTERNAL, GRIP_FLEXORS, DEEP_CORE, OBLIQUES","LATISSIMUS_DORSI 0.25, RHOMBOIDS 0.15, TRAPEZIUS_MIDDLE 0.15, POSTERIOR_DELTOID 0.12, BICEPS_BRACHII 0.10, BRACHIALIS 0.05, BRACHIORADIALIS 0.04, GRIP_FLEXORS 0.05, TRAPEZIUS_LOWER 0.04, DEEP_CORE 0.03, OBLIQUES 0.02","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","A_OPENSTAX_11_5|C_INVERTED_ROW_EMG_SNARR_ESCO_2013|D_SCAP_ROTATOR_CUFF_PMC2857390","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW"
"바벨 로우","ex_de46b7f6","category=근력운동; movement_category=STRENGTH; force_type=PULL; movement_pattern=PULL_HORIZONTAL|BACK_STRENGTH|SCAPULAR_RETRACTION","ROW_VARIANTS","HIGH","horizontal pull structured metadata","LATISSIMUS_DORSI, RHOMBOIDS, TRAPEZIUS_MIDDLE | secondary: POSTERIOR_DELTOID, BICEPS_BRACHII, BRACHIALIS, BRACHIORADIALIS | stabilizers: TRAPEZIUS_LOWER, ROTATOR_CUFF_EXTERNAL, GRIP_FLEXORS, DEEP_CORE, OBLIQUES","LATISSIMUS_DORSI 0.25, RHOMBOIDS 0.15, TRAPEZIUS_MIDDLE 0.15, POSTERIOR_DELTOID 0.12, BICEPS_BRACHII 0.10, BRACHIALIS 0.05, BRACHIORADIALIS 0.04, GRIP_FLEXORS 0.05, TRAPEZIUS_LOWER 0.04, DEEP_CORE 0.03, OBLIQUES 0.02","HORIZONTAL_PULL_STRENGTH","HORIZONTAL_PULL_COMPOUND","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390","A_OPENSTAX_11_5|C_INVERTED_ROW_EMG_SNARR_ESCO_2013|D_SCAP_ROTATOR_CUFF_PMC2857390","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW|ROW_SUBTYPE_MANUAL_REVIEW"
"밴드 외회전","ex_e8ff8cfa","category=근력운동; movement_category=SUPPORT; force_type=ISOLATION; movement_pattern=SHOULDER_EXTERNAL_ROTATION|ROTATOR_CUFF_SUPPORT|SHOULDER_PREHAB","EXTERNAL_ROTATION_INTERNAL_ROTATION_VARIANTS","HIGH","rotator cuff structured metadata","ROTATOR_CUFF_EXTERNAL or ROTATOR_CUFF_INTERNAL | secondary: POSTERIOR_DELTOID, TRAPEZIUS_LOWER, TRAPEZIUS_MIDDLE | stabilizers: SERRATUS_ANTERIOR, DEEP_CORE","ROTATOR_CUFF_EXTERNAL 0.40, ROTATOR_CUFF_INTERNAL 0.15, POSTERIOR_DELTOID 0.10, TRAPEZIUS_LOWER 0.10, TRAPEZIUS_MIDDLE 0.08, SERRATUS_ANTERIOR 0.10, DEEP_CORE 0.07","ROTATOR_CUFF_CARE","ROTATOR_CUFF_PREHAB","NO","NO","NO","USES_NEEDS_NETWORK_RECHECK_SOURCE:D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","A_OPENSTAX_11_5|D_SCAP_ROTATOR_CUFF_PMC2857390|E_BADMINTON_INJURY_PMC7205924","PARTIAL_TEMPLATE_DEFAULTS_WITH_REVIEW","YES","SOURCE_REVIEW"
"버드독","ex_28347c1f","category=근력운동; movement_category=SUPPORT; force_type=CORE; movement_pattern=CORE_STABILITY|ANTI_ROTATION|LUMBOPELVIC_CONTROL|CONTRALATERAL_COORDINATION","ANTI_ROTATION_ANTI_EXTENSION_CORE_VARIANTS","HIGH","anti-extension/core control subtype token","DEEP_CORE, OBLIQUES, RECTUS_ABDOMINIS | secondary: GLUTE_MAX, GLUTE_MED_MIN, SERRATUS_ANTERIOR | stabilizers: ERECTOR_SPINAE, ROTATOR_CUFF_EXTERNAL, HIP_ADDUCTORS","DEEP_CORE 0.30, OBLIQUES 0.25, RECTUS_ABDOMINIS 0.15, GLUTE_MED_MIN 0.08, GLUTE_MAX 0.07, SERRATUS_ANTERIOR 0.05, ERECTOR_SPINAE 0.05, HIP_ADDUCTORS 0.05","CORE_STABILITY","TRUNK_ANTI_MOVEMENT","NO","NO","NO","NO","A_OPENSTAX_10_2|E_CORE_BADMINTON_META_PMC11168634","YES_TEMPLATE_DEFAULTS","NO",""
